Changed database context to 'x3v5'.
          1,Cover Plus Black 3mil                                                                                                                                                                                                                                     ,               ,     ,                                                                                                                                                                                                                                                                ,     ,        .00,      .0000,        .00,        .00
          2,MR20O3B                                                                                                                                                                                                                                                   ,DEC1113        ,00001,20 ft X 73 ft                                                                                                                                                                                                                                                   ,Sheet,      58.40,      .5333,      38.93,      19.47
          2,MR20O3B                                                                                                                                                                                                                                                   ,DEC1113        ,00002,20 ft X 73 ft                                                                                                                                                                                                                                                   ,Sheet,      58.40,      .5333,      38.93,      19.47
          1,Grow Film Suncover Clear 4 Year 6mil                                                                                                                                                                                                                      ,               ,     ,                                                                                                                                                                                                                                                                ,     ,        .00,      .0000,        .00,        .00
          2,MR10U46C                                                                                                                                                                                                                                                  ,APR1114        ,00001,10 ft X 20 ft                                                                                                                                                                                                                                                   ,Sheet,      18.07,      .6023,      12.05,       6.02
          2,MR10U46C                                                                                                                                                                                                                                                  ,NOV0413        ,00001,10 ft X 33 ft                                                                                                                                                                                                                                                   ,Sheet,      29.81,      .6023,      19.87,       9.94
          2,MR12U46C                                                                                                                                                                                                                                                  ,APR1814        ,00001,12 ft X 55 ft                                                                                                                                                                                                                                                   ,Sheet,      59.60,      .7224,      39.73,      19.87
          2,MR12U46C                                                                                                                                                                                                                                                  ,APR2414        ,00001,12 ft X 46 ft                                                                                                                                                                                                                                                   ,Sheet,      49.85,      .7224,      33.23,      16.62
          2,MR12U46C                                                                                                                                                                                                                                                  ,MAR1014        ,00004,12 ft X 40 ft                                                                                                                                                                                                                                                   ,Sheet,      43.34,      .7224,      28.90,      14.45
          2,MR14U46C                                                                                                                                                                                                                                                  ,MAR1914        ,00001,14 ft X 98 ft                                                                                                                                                                                                                                                   ,Sheet,     123.89,      .8428,      82.59,      41.30
          2,MR18U46C                                                                                                                                                                                                                                                  ,FEB0314        ,00001,18 ft X 56 ft                                                                                                                                                                                                                                                   ,Sheet,      91.04,     1.0838,      60.69,      30.35
          2,MR18U46C                                                                                                                                                                                                                                                  ,MAR2014        ,00001,18 ft X 54 ft                                                                                                                                                                                                                                                   ,Sheet,      87.79,     1.0838,      58.52,      29.26
          2,MR21U46C                                                                                                                                                                                                                                                  ,4/17/14        ,00001,21 ft X 36 ft                                                                                                                                                                                                                                                   ,Sheet,      72.43,     1.3413,      48.29,      24.14
